name,confidence,reason,url
Overlord Collector's Edition,high,coop for Many players  genre: Action;Adventure,https://example.com/games/overlord-collector-s-edition
Just Cause 4,high,coop for Many players  genre: RPG;Action,https://example.com/games/just-cause-4
Insurgency Premium Edition,low,genre: Simulation,https://example.com/games/insurgency-premium-edition
Tropico 5,low,genre: Casual;Party,https://example.com/games/tropico-5
City Island Digital Edition,high,coop for 4 players  genre: Shooter;Action,https://example.com/games/city-island-digital-edition
Painkiller Beta Edition,low,genre: MOBA;Strategy,https://example.com/games/painkiller-beta-edition
Metroid Enhanced Edition,medium,coop for Many players  has PvP modes  genre: Battle Royale;Shooter,https://example.com/games/metroid-enhanced-edition
Gundam Battle Universe Anniversary Edition,low,genre: Action;Platformer,https://example.com/games/gundam-battle-universe-anniversary-edition
Once Human Omega Edition,medium,coop for 8 players  has PvP modes  genre: Tactical;Shooter,https://example.com/games/once-human-omega-edition
Sol Cresta Omega Edition 3,medium,coop for 4 players  has PvP modes  genre: Strategy;RTS,https://example.com/games/sol-cresta-omega-edition-3
Call to Arms Enhanced Edition,high,coop for 3 players  genre: Shooter;Action,https://example.com/games/call-to-arms-enhanced-edition
Deus Ex Premium Edition,medium,coop for 6 players  has PvP modes  genre: Simulation,https://example.com/games/deus-ex-premium-edition
Lunar Remake,high,coop for 2 players  genre: Strategy;Turn-Based,https://example.com/games/lunar-remake
Pokemon Unite First Edition,medium,coop for 8 players  has PvP modes  genre: Simulation;Sandbox,https://example.com/games/pokemon-unite-first-edition
Guild Wars Beta Edition,medium,coop for 4 players  has PvP modes  genre: Simulation;Sandbox,https://example.com/games/guild-wars-beta-edition
Front Mission 3 Omega Edition 3,high,coop for 2 players  genre: Simulation,https://example.com/games/front-mission-3-omega-edition-3
Sol Cresta,high,coop for Many players  genre: Casual;Party,https://example.com/games/sol-cresta
Ashes of the Singularity Collector's Edition,low,genre: Simulation;Sandbox,https://example.com/games/ashes-of-the-singularity-collector-s-edition
Sky Children of the Light,high,coop for 4 players  genre: Simulation;Sandbox,https://example.com/games/sky-children-of-the-light
Timberborn Limited Edition,low,genre: Action;Adventure,https://example.com/games/timberborn-limited-edition
Deus Ex Final Edition,high,coop for 4 players  genre: MOBA;Strategy,https://example.com/games/deus-ex-final-edition
Payday Alpha Edition,medium,coop for 2 players  has PvP modes  genre: Casual;Party,https://example.com/games/payday-alpha-edition
Natural Selection Physical Edition,low,genre: RPG;Action,https://example.com/games/natural-selection-physical-edition
Monogatari Beta Edition,high,coop for 3 players  genre: Shooter;Action,https://example.com/games/monogatari-beta-edition
The Walking Dead Omega Edition 4,low,genre: RPG;Action,https://example.com/games/the-walking-dead-omega-edition-4
